Wavelength,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
916.0,0.04524915,0.021572968,0.034602337,0.057336017,0.04046541
920.0,0.042390894,0.018134588,0.03201601,0.034207735,0.025480548
924.0,0.042442456,0.018363632,0.03227194,0.035295133,0.025961544
928.0,0.044017397,0.018885756,0.033413228,0.033907473,0.024813518
932.0,0.044686746,0.018963166,0.033744678,0.031713642,0.023013366
936.0,0.04438764,0.018980607,0.033577006,0.030828042,0.022331838
940.0,0.04621381,0.01992142,0.034965742,0.03274039,0.023640312
944.0,0.04552176,0.020038323,0.034596726,0.03358959,0.024312308
948.0,0.049165472,0.020547627,0.036693137,0.03719093,0.026151095
952.0,0.047164965,0.019976374,0.03521835,0.037766255,0.026630828
956.0,0.0486141,0.020746559,0.036281977,0.040296715,0.028465617
960.0,0.04797814,0.020200655,0.035465132,0.04221198,0.029701658
964.0,0.04715818,0.018918991,0.03424736,0.04429636,0.030913148
968.0,0.04305051,0.016999379,0.03169677,0.039738983,0.02769493
972.0,0.041585628,0.017299999,0.031725094,0.035728,0.025146618
976.0,0.042611428,0.018775245,0.033194665,0.03837893,0.027224371
980.0,0.04332854,0.019303508,0.03379423,0.03992981,0.02835468
984.0,0.04532901,0.020078942,0.035080872,0.042107113,0.029936124
988.0,0.046025366,0.020237047,0.03539967,0.04316984,0.030751294
992.0,0.0451477,0.01972451,0.034533426,0.043017156,0.030635417
996.0,0.04634537,0.019939352,0.03520459,0.04454687,0.031686444
1000.0,0.046410948,0.01944092,0.034882188,0.04450354,0.03139315
1004.0,0.046504,0.019487258,0.03499352,0.046841256,0.032803245
1008.0,0.046295617,0.019062743,0.03484252,0.048667006,0.033435863
1012.0,0.044466406,0.017504994,0.0336903,0.039053686,0.027849313
1016.0,0.04370717,0.017386694,0.033292823,0.036620017,0.026554553
1020.0,0.042606782,0.017720403,0.0328963,0.038974747,0.02805474
1024.0,0.041823484,0.017947398,0.03276883,0.040967323,0.029140795
1028.0,0.041130684,0.017990831,0.03250799,0.04132138,0.029216817
1032.0,0.040991988,0.017813899,0.03191336,0.042219356,0.02929686
1036.0,0.041723207,0.017722147,0.0319228,0.04087443,0.028676871
1040.0,0.042646825,0.01788745,0.032153584,0.03832857,0.027274879
1044.0,0.04277242,0.0185282,0.03253827,0.0385156,0.027575344
1048.0,0.043949373,0.019637067,0.033563923,0.041097086,0.02927093
1052.0,0.04533938,0.020781232,0.03476972,0.043537043,0.030967725
1056.0,0.045944765,0.021421842,0.035307966,0.044998944,0.032090094
1060.0,0.04520233,0.021104392,0.034363728,0.04518314,0.03214301
1064.0,0.045682676,0.021222793,0.03423265,0.046505198,0.03302113
1068.0,0.045529567,0.021242782,0.033935886,0.047050506,0.03364536
1072.0,0.046437874,0.021176,0.033931997,0.048932903,0.034602992
1076.0,0.045292027,0.02054861,0.03263406,0.048603628,0.034278624
1080.0,0.044791996,0.02003476,0.0320123,0.048611213,0.03418357
1084.0,0.044857144,0.0196479,0.031781554,0.04696107,0.032973513
1088.0,0.046639796,0.020273276,0.032947443,0.04793384,0.03367337
1092.0,0.046632376,0.020086568,0.0330646,0.046651825,0.032973908
1096.0,0.04651043,0.019177534,0.03270503,0.03928891,0.028601106
1100.0,0.046559162,0.019196155,0.03243494,0.040839445,0.029763557
1104.0,0.04329136,0.018386569,0.030204656,0.040929087,0.030081574
1108.0,0.04249788,0.018862072,0.02970361,0.044075243,0.032175455
1112.0,0.04409201,0.019895952,0.030777985,0.04591378,0.033473168
1116.0,0.045552593,0.020579016,0.03145794,0.047981244,0.034750234
1120.0,0.04500058,0.020691391,0.03103523,0.048641495,0.0353946
1124.0,0.045271114,0.020594826,0.030936614,0.049649548,0.035678055
1128.0,0.046704292,0.021184623,0.032004926,0.051814973,0.037015818
1132.0,0.04787605,0.021456499,0.033071764,0.05110963,0.03637048
1136.0,0.048068494,0.021238504,0.033147175,0.047291525,0.033371177
1140.0,0.049395163,0.02223244,0.03428588,0.050449543,0.03567929
1144.0,0.048938155,0.022596035,0.03420193,0.05171511,0.03679429
1148.0,0.0491485,0.02311133,0.034544576,0.05380372,0.03821186
1152.0,0.04996159,0.023570534,0.035184514,0.056207635,0.03979672
1156.0,0.04950162,0.023586925,0.034961835,0.05671651,0.03996639
1160.0,0.050163653,0.024020903,0.03533122,0.05876463,0.041385155
1164.0,0.05111417,0.02434767,0.035420198,0.062299617,0.043645535
1168.0,0.0505518,0.023297805,0.03401146,0.06595112,0.045916248
1172.0,0.04630163,0.023271864,0.03181085,0.07395473,0.050812304
1176.0,0.048738487,0.025337454,0.03420733,0.08239989,0.05600158
1180.0,0.050556283,0.027169205,0.03575397,0.10326806,0.06721836
1184.0,0.051306807,0.028266922,0.036491044,0.11785145,0.07529103
1188.0,0.050781768,0.025211994,0.03552839,0.08935139,0.057992388
1192.0,0.050423376,0.022651754,0.03472869,0.06368067,0.042757172
1196.0,0.05064099,0.020184552,0.03425507,0.03848749,0.028028863
1200.0,0.05176387,0.020009771,0.03479361,0.03471691,0.026166033
1204.0,0.052877706,0.020373099,0.035187773,0.03987399,0.029390102
1208.0,0.052394822,0.020504568,0.03512214,0.041466,0.030632967
1212.0,0.054482102,0.021085758,0.03634953,0.047540613,0.03466926
1216.0,0.055525705,0.020961862,0.036928225,0.047200907,0.033915438
1220.0,0.05840906,0.019839382,0.03792976,0.035888452,0.026129395
1224.0,0.0559237,0.018358188,0.036413208,0.023531029,0.019323425
1228.0,0.045375735,0.016560294,0.030315544,0.02387038,0.019586617
1232.0,0.045365542,0.01737291,0.030501278,0.02834154,0.022585608
1236.0,0.046422105,0.018272657,0.031438943,0.031059252,0.024464808
1240.0,0.047633722,0.018759953,0.03252475,0.033625677,0.026149645
1244.0,0.04308456,0.018833071,0.030451773,0.036556486,0.02823047
1248.0,0.04249353,0.018694721,0.029931447,0.038392175,0.029252212
1252.0,0.046941776,0.019525426,0.032342315,0.039745595,0.03022344
1256.0,0.054016106,0.020726644,0.036125705,0.037491567,0.028892266
1260.0,0.042647857,0.01930407,0.029722767,0.037596166,0.028775077
